name,price,score,dis
La Quinta Inn by Wyndham Austin Capitol / Downtown,682.0,5.8,0.4
Courtyard Austin Downtown/Convention Center,974.0,8.2,0.2
DoubleTree by Hilton Austin-University Area,915.0,8.0,1.1
Fairmont Austin,1072.0,8.9,0.4
"Staybridge Suites Austin Airport, an IHG Hotel",798.0,7.7,4.5
Mint House at The Hatchery - Austin,782.0,9.0,1.1
Hampton Inn and Suites Austin University Capitol,790.0,8.7,0.9
Hilton Garden Inn Austin Downtown-Convention Center,708.0,7.3,0.4
"Kimpton Hotel Van Zandt, an IHG Hotel",1220.0,8.0,0.5
St Johns,1065.0,10.0,5.2
The LINE Austin,1324.0,8.2,0.3
"Candlewood Suites - Austin North, an IHG Hotel",729.0,8.5,6.3
"Motel 6 Austin, TX - Central Downtown UT",478.0,6.6,3.8
Hyatt House Austin Arboretum,546.0,7.6,8.5
The Guild Austin Lofts on 5th,1044.0,8.6,0.2
Hyatt Regency Austin,954.0,8.4,0.5
Aiden by Best Western @ Austin City Hotel,862.0,8.2,2.2
Motel 6 Austin Airport,656.0,7.7,4.4
Mint House Austin - South Congress,1046.0,8.7,0.9
Hilton Garden Inn Cedar Park Austin,696.0,9.0,14.5
"The Driskill, in The Unbound Collection by Hyatt",1074.0,8.4,0.1
Colton House Hotel,1320.0,9.0,2.2
"Holiday Inn Express Hotel & Suites Austin Downtown, an IHG Hotel",732.0,8.1,0.4
Red Roof Inn PLUS+ Austin South,564.0,7.3,4.1
"The Otis Hotel Austin, Autograph Collection",1384.0,9.1,1.1
Hyatt Place Austin Downtown,849.0,8.2,0.2
"tommie Austin, part of Jdv by Hyatt",1008.0,8.6,0.1
Radisson Hotel Austin,624.0,6.5,4.5
Moxy Austin - University,710.0,8.8,1.6
JW Marriott Austin,1559.0,8.6,0.2
Comfort Suites Austin NW Lakeline,665.0,7.7,13.4
Extended Stay America Suites - Austin - Downtown - Town Lake,739.0,7.0,0.8
La Quinta by Wyndham Austin at The Domain,706.0,7.9,9.8
"Holiday Inn Austin -Town Lake, an IHG Hotel",813.0,7.7,1.0
DoubleTree Suites by Hilton Hotel Austin,905.0,7.9,0.7
Aloft Austin Northwest,714.0,8.4,14.8
"Staybridge Suites Austin Northwest, an IHG Hotel",716.0,8.0,12.2
La Quinta by Wyndham Austin Southwest,751.0,6.9,4.8
"Staybridge Suites Austin North - Parmer Lane, an IHG Hotel",679.0,8.7,11.1
"Holiday Inn Express Austin North Central, an IHG Hotel",623.0,7.8,6.4
"Hilton Garden Inn Austin University Capitol District, Tx",811.0,8.3,0.9
Hampton Inn Austin North,597.0,8.1,5.5
La Quinta Inn by Wyndham Austin North,744.0,7.0,5.5
Courtyard Austin-University Area,704.0,7.8,4.1
ARRIVE Austin,930.0,9.3,1.2
Best Western PLUS Austin Airport Inn & Suites,701.0,8.0,4.5
Hilton Austin,1350.0,8.0,0.3
Hotel Ella,1081.0,8.5,1.1
Canopy By Hilton Austin Downtown,993.0,8.8,0.4
Sonesta Simply Suites Austin The Domain Area,585.0,7.9,8.4
Renaissance Austin Hotel,1194.0,8.3,8.7
Courtyard Austin North/Parmer Lane,724.0,8.2,10.1
Fairfield Inn & Suites by Marriott Austin Parmer Tech Ridge,679.0,7.8,10.5
Fairfield Inn and Suites by Marriott Austin Northwest/Research Blvd,706.0,8.3,12.2
Fairmont Austin Gold Experience,1736.0,9.0,0.4
Best Western Plus Austin Central,630.0,7.8,4.2
Extended Stay America Premier Suites - Austin - Austin Airport,836.0,8.0,4.5
Cambria Hotel Austin Airport,798.0,8.8,4.5
"Staybridge Suites Austin South Interstate Hwy 35, an IHG Hotel",1241.0,8.7,5.0
Hyatt Place Austin Airport,879.0,8.7,6.0
Sonder at East Eleventh,1015.0,7.0,0.7
"Homewood Suites By Hilton Austin/Cedar Park-Lakeline, Tx",674.0,9.1,14.0
"Holiday Inn Express & Suites Austin NW - Lakeline, an IHG Hotel",610.0,8.2,14.2
Hampton Inn & Suites-Austin Airport,788.0,8.1,4.7
"Holiday Inn Express Hotel & Suites Austin SW - Sunset Valley, an IHG Hotel",698.0,7.5,4.8
Hilton Austin Airport,1134.0,8.3,6.1
Kasa Downtown Austin,1775.0,8.4,0.2
DoubleTree by Hilton Austin Northwest - Arboretum,752.0,7.3,7.7
Fairfield Inn & Suites Austin University Area,764.0,7.9,4.1
Omni Austin Hotel Downtown,1253.0,7.8,0.2
The Westin Austin Downtown,1117.0,8.1,0.1
Quality Suites,716.0,7.6,3.8
Sonder at The Catherine,1204.0,8.5,0.6
Hotel Magdalena,1655.0,8.6,1.0
Sentral East Austin at 1630 E Sixth,960.0,8.1,1.1
Austin Southpark Hotel,787.0,7.5,3.6
La Quinta by Wyndham Austin Airport,684.0,7.6,4.6
The Westin Austin at The Domain,1273.0,8.8,9.2
Mountain Star Lodge,764.0,7.9,13.2
Hampton Inn & Suites Austin Cedar Park-Lakeline,629.0,8.6,14.0
Sonesta ES Suites Austin The Domain Area,784.0,8.3,8.7
Sheraton Austin Hotel at the Capitol,985.0,6.9,0.6
Best Western Plus Executive Residency Austin,928.0,7.9,13.1
Sonder at South Congress,1927.0,8.6,1.1
Econo Lodge Arboretum,450.0,5.9,7.5
Days Inn by Wyndham Austin/University/Downtown,835.0,5.8,1.9
Kasa Lady Bird Lake Austin,1293.0,7.9,0.1
"avid hotels - Austin - Tech Ridge, an IHG Hotel",651.0,8.3,10.1
"Candlewood Suites - Austin Airport, an IHG Hotel",880.0,8.4,4.4
Kasa 2nd Street Austin,1779.0,8.1,0.2
Instagrammable Condo Walkable to All in Austin!,1193.0,10.0,0.9
Hotel ZaZa Austin,2715.0,9.0,0.2
"Studio 6-Austin, TX - Midtown",572.0,6.6,4.8
"Origin Austin, a Wyndham Hotel",1211.0,9.6,3.1
SpringHill Suites by Marriott Austin Parmer/Tech Ridge,593.0,8.1,10.4
TownePlace Suites Austin South,724.0,8.9,5.1
SpringHill Suites Austin South,726.0,7.9,4.0
"Motel 6-Austin, TX - Midtown",464.0,5.3,5.0
Austin Motel,884.0,8.5,1.1
Casata Austin,1069.0,9.5,8.6
Extended Stay America Suites - Austin - Northwest Arboretum - The Domain,450.0,5.4,9.8
Austin Motor Inn,338.0,5.0,8.7
Archer Hotel Austin,1989.0,9.3,9.5
Club Wyndham Austin,819.0,8.6,0.4
SpringHill Suites by Marriott Austin Northwest Research Blvd,678.0,9.2,12.6
Corporate Housing with a Cozy Feel Close to Downtown,702.0,10.0,5.6
Luxury Greenhouse Studio,891.0,8.8,0.9
"Home2 Suites by Hilton Austin North/Near the Domain, TX",827.0,9.2,9.2
"Holiday Inn Austin Midtown, an IHG Hotel",747.0,7.7,4.4
Hilton Garden Inn Austin NorthWest/Arboretum,660.0,8.3,10.3
Natiivo Austin II,1347.0,9.2,0.8
Vivant - Extended Stay Apartments Next to Downtown,1175.0,9.4,2.3
Budget Inn Motel,338.0,4.7,7.0
Super 8 by Wyndham Austin South I-35,451.0,4.9,3.7
Firehouse Hostel,714.0,7.7,0.1
Microtel Inn & Suites by Wyndham Austin Airport,538.0,7.4,4.7
Ramada by Wyndham Austin South,607.0,7.8,3.9
Travelodge by Wyndham Austin South,630.0,5.3,2.7
Heart of Texas Motel,570.0,6.9,6.0
Rodeway Inn and Suites Austin,546.0,4.8,4.5
Vivant - Spacious 2BR King Bed Suites Close to Downtown and Airport,1603.0,10.0,3.8
Casulo Hotel,704.0,4.6,2.8
Element Austin Downtown,1134.0,8.1,0.1
"Austin Proper Hotel, a Member of Design Hotels",2299.0,8.5,0.4
Super 8 by Wyndham Austin Downtown/Capitol Area,677.0,6.4,0.8
Comfort Inn & Suites ATX North,584.0,6.6,5.4
TownePlace Suites by Marriott Austin Parmer/Tech Ridge,724.0,8.4,10.2
Residence Inn Austin Downtown / Convention Center,1064.0,8.6,0.2
Natiivo Austin XIV,1118.0,8.3,0.8
Extended Stay America Suites - Austin - North Central,551.0,5.6,6.0
Village Motor Inn,479.0,4.6,2.6
Extended Stay America Suites - Austin - Southwest,651.0,7.0,5.4
Aloft Austin South,786.0,9.0,3.6
